node_id,cluster_id,cluster_size
1,0,1372
2,0,1372
3,0,1372
8198,0,1372
6,0,1372
7,0,1372
11,0,1372
12,0,1372
8206,0,1372
8207,0,1372
8208,0,1372
15,0,1372
18,0,1372
20,0,1372
22,0,1372
26,0,1372
29,0,1372
31,0,1372
32,0,1372
34,0,1372
8226,0,1372
38,0,1372
41,0,1372
42,0,1372
45,0,1372
8238,0,1372
48,0,1372
50,0,1372
8242,0,1372
8244,0,1372
52,0,1372
51,0,1372
56,0,1372
59,0,1372
60,0,1372
63,0,1372
8257,0,1372
70,0,1372
72,0,1372
8266,0,1372
75,0,1372
76,0,1372
8273,0,1372
81,0,1372
8274,0,1372
92,0,1372
8289,0,1372
100,0,1372
101,0,1372
103,0,1372
107,0,1372
8301,0,1372
111,0,1372
8306,0,1372
117,0,1372
8309,0,1372
119,0,1372
8312,0,1372
8313,0,1372
8314,0,1372
8315,0,1372
122,0,1372
120,0,1372
128,0,1372
8320,0,1372
130,0,1372
8323,0,1372
132,0,1372
135,0,1372
8330,0,1372
8337,0,1372
8350,0,1372
8354,0,1372
8355,0,1372
8356,0,1372
8359,0,1372
167,0,1372
8361,0,1372
171,0,1372
8363,0,1372
173,0,1372
176,0,1372
8368,0,1372
8369,0,1372
8371,0,1372
8373,0,1372
182,0,1372
183,0,1372
8377,0,1372
193,0,1372
195,0,1372
196,0,1372
199,0,1372
200,0,1372
202,0,1372
205,0,1372
212,0,1372
8410,0,1372
8411,0,1372
8418,0,1372
8421,0,1372
233,0,1372
8425,0,1372
234,0,1372
237,0,1372
8429,0,1372
240,0,1372
8434,0,1372
242,0,1372
246,0,1372
8442,0,1372
251,0,1372
8444,0,1372
8445,0,1372
255,0,1372
8449,0,1372
263,0,1372
264,0,1372
268,0,1372
8465,0,1372
8479,0,1372
8482,0,1372
296,0,1372
299,0,1372
300,0,1372
8493,0,1372
308,0,1372
8502,0,1372
311,0,1372
8504,0,1372
8505,0,1372
8508,0,1372
319,0,1372
321,0,1372
8513,0,1372
8514,0,1372
335,0,1372
8532,0,1372
8534,0,1372
343,0,1372
8538,0,1372
350,0,1372
8542,0,1372
352,0,1372
8545,0,1372
8554,0,1372
363,0,1372
8558,0,1372
370,0,1372
381,0,1372
8575,0,1372
8576,0,1372
8577,0,1372
8584,0,1372
8587,0,1372
8588,0,1372
397,0,1372
8590,0,1372
8593,0,1372
8599,0,1372
407,0,1372
8609,0,1372
8611,0,1372
8612,0,1372
8614,0,1372
424,0,1372
425,0,1372
426,0,1372
428,0,1372
429,0,1372
8639,0,1372
448,0,1372
450,0,1372
8644,0,1372
454,0,1372
455,0,1372
8652,0,1372
460,0,1372
466,0,1372
467,0,1372
8661,0,1372
8663,0,1372
8667,0,1372
479,0,1372
8671,0,1372
8674,0,1372
8677,0,1372
8679,0,1372
8682,0,1372
8683,0,1372
8686,0,1372
494,0,1372
8687,0,1372
8689,0,1372
8692,0,1372
8694,0,1372
8695,0,1372
8701,0,1372
8705,0,1372
514,0,1372
515,0,1372
516,0,1372
528,0,1372
530,0,1372
532,0,1372
8726,0,1372
8728,0,1372
538,0,1372
8732,0,1372
540,0,1372
543,0,1372
8737,0,1372
545,0,1372
547,0,1372
548,0,1372
8742,0,1372
8744,0,1372
554,0,1372
555,0,1372
